genus.proper,family,extant,valid,inPBDB,INTEGRAT,GROWTH,MORPH,soli.diam,ECOLOGY,alt.symb,symbio,Reference,Evidence,Confidence
Acanthastrea,Lobophylliidae,1,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Acanthocoenia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Acanthocyathus,Caryophylliidae,1,1,1,0,solitary,trochoid,small,az,,AZ,"{Perrin, 2012 #14453}",Uniformitarian,1
Acanthogyra,Rhipidogyridae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Acropora,Acroporidae,1,1,1,2,colonial,ramose,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Acrosmilia,Acrosmiliidae,0,1,1,0,solitary,turbinate,small,az,,NA,NA,NA,NA
Actinacis,Actinacididae,0,1,1,2,colonial,ramose,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Actinaraea,Actinacididae,0,1,1,3,colonial,lamellar,,z,,Z,"{Tom†s, 2008 #11508}",Absence in poorly lit environments,2
Actinaraeopsis,Actinacididae,0,1,1,3,colonial,massive,,z,,Z,"{Tom†s, 2008 #11508}",Absence in poorly lit environments,2
Actinastrea,Actinastreidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Actinhelia,Actinacididae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Adegokeastrea,Astrocoeniidae,0,1,1,2,colonial,encrusting,,z,,NA,NA,NA,NA
Adelocoenia,Stylinidae,0,1,1,2,colonial,massive,,z,,NA,NA,NA,NA
Adkinsella,Flabellidae,0,1,1,0,solitary,turbinate,medium,az,z,NA,NA,NA,NA
Agaricia,Agariciidae,1,1,1,3,colonial,foliaceous,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Agathelia,Agatheliidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Agathiphyllia,Faviidae,0,1,1,2,colonial,massive,,z,,Z,"{Perrin, 2012 #14453}",Uniformitarian,1
Aggomorphastraea,Latomeandridae,0,1,1,1,colonial,dendroid,,az,,NA,NA,NA,NA
